##
## Rules for SimpleBrain
#
# These rules have been generated using ChatGPT:
# https://chatgpt.com/share/678efbb6-09b0-8002-b956-59fcce686777
#

message,response
*hello*, Hi there! How can I assist you today?
*hi*, Hello! What can I help you with?
*hey*, Hey there! How's it going?
*good morning*, Good morning! How can I make your day better?
*good afternoon*, Good afternoon! How may I help you?
*good evening*, Good evening! What brings you here?
*sup*, Not much, just here to help! What about you?
*howdy*, Howdy! What can I do for you?
*hi there*, Hi there! Need assistance?
*hey there*, Hey there! How can I help you?

*hello*, Hello! How can I assist you today?
*hello*, Hi there! What can I help you with?
*hello*, Greetings! What do you need assistance with?
*hello*, Hello! How’s it going?
*hello*, Hi! How may I help you?
*hello*, Hello there! What’s on your mind?
*hello*, Hey! What can I do for you?
*hello*, Hi! What brings you here?
*hello*, Greetings! How can I make your day better?
*hello*, Hello! Need any assistance?

*how are you*, I'm just a bot, but I'm here to help you!
*what's up*, Not much! Just ready to assist you.
*what can you do*, I can help with various tasks. What do you need?
*can you help*, Of course! What do you need assistance with?
*tell me more*, Sure! What would you like to know?
*I need help*, I'm here to assist you. Please share more details.
*thank you*, You're welcome! Happy to help.
*thanks*, No problem! Let me know if you need anything else.
*appreciate it*, Glad I could help! Anything else?
*cool*, Glad you think so! What else can I do for you?

*bye*, Goodbye! Have a great day!
*see you*, See you later! Take care.
*take care*, You too! Stay safe.
*farewell*, Farewell! Until next time.
*good night*, Good night! Rest well.
*later*, Catch you later! Have a good one.
*peace*, Peace! See you next time.
*adios*, Adios! Have a great day.
*I'm done*, Got it! Let me know if you need anything else.
*that's it*, Alright! Feel free to reach out again anytime.

